"","year","mon.day","date","district","river","bank","species","fish.count","comments","run_desc","run","maturity","proj.id","proj","header.comment","pyd.id","count.type","usage"
"1",2023,"15-Jun","6/15/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",NA,"inoperable","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"2",2023,"16-Jun","6/16/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",NA,"inoperable","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"3",2023,"17-Jun","6/17/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",NA,"inoperable","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"4",2023,"18-Jun","6/18/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"partial","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"5",2023,"19-Jun","6/19/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"6",2023,"20-Jun","6/20/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"7",2023,"21-Jun","6/21/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"partial","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"8",2023,"22-Jun","6/22/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"partial","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"9",2023,"23-Jun","6/23/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"10",2023,"24-Jun","6/24/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"11",2023,"25-Jun","6/25/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",1,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"12",2023,"26-Jun","6/26/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"13",2023,"27-Jun","6/27/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"14",2023,"28-Jun","6/28/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"15",2023,"29-Jun","6/29/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",3,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"16",2023,"30-Jun","6/30/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",8,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"17",2023,"1-Jul","7/1/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",7,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"18",2023,"2-Jul","7/2/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",10,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"19",2023,"3-Jul","7/3/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",3,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"20",2023,"4-Jul","7/4/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",12,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"21",2023,"5-Jul","7/5/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",3,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"22",2023,"6-Jul","7/6/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"23",2023,"7-Jul","7/7/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",1,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"24",2023,"8-Jul","7/8/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",10,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"25",2023,"9-Jul","7/9/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",15,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"26",2023,"10-Jul","7/10/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",239,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"27",2023,"11-Jul","7/11/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",729,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"28",2023,"12-Jul","7/12/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",286,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"29",2023,"13-Jul","7/13/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",198,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"30",2023,"14-Jul","7/14/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",164,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"31",2023,"15-Jul","7/15/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",5,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"32",2023,"16-Jul","7/16/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",204,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"33",2023,"17-Jul","7/17/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",25,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"34",2023,"18-Jul","7/18/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",36,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"35",2023,"19-Jul","7/19/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",202,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"36",2023,"20-Jul","7/20/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",87,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"37",2023,"21-Jul","7/21/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",38,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"38",2023,"22-Jul","7/22/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",105,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"39",2023,"23-Jul","7/23/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",73,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"40",2023,"24-Jul","7/24/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",91,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"41",2023,"25-Jul","7/25/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",71,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"42",2023,"26-Jul","7/26/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",24,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"43",2023,"27-Jul","7/27/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",30,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"44",2023,"28-Jul","7/28/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",7,"partial","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"45",2023,"29-Jul","7/29/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",18,"partial","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"46",2023,"30-Jul","7/30/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",25,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"47",2023,"31-Jul","7/31/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",17,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"48",2023,"1-Aug","8/1/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",22,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"49",2023,"2-Aug","8/2/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",15,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"50",2023,"3-Aug","8/3/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",7,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"51",2023,"4-Aug","8/4/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",4,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"52",2023,"5-Aug","8/5/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",2,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"53",2023,"6-Aug","8/6/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"54",2023,"7-Aug","8/7/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"55",2023,"8-Aug","8/8/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",9,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"56",2023,"9-Aug","8/9/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",7,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"57",2023,"10-Aug","8/10/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",5,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"58",2023,"11-Aug","8/11/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",5,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"59",2023,"12-Aug","8/12/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",3,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"60",2023,"13-Aug","8/13/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",1,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"61",2023,"14-Aug","8/14/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"62",2023,"15-Aug","8/15/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"63",2023,"16-Aug","8/16/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"64",2023,"17-Aug","8/17/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"65",2023,"18-Aug","8/18/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",1,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"66",2023,"19-Aug","8/19/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"67",2023,"20-Aug","8/20/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"68",2023,"21-Aug","8/21/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",2,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"69",2023,"22-Aug","8/22/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
